Description,Stop ID,Longitude,Latitude,Routes,Municipality,Nearest Intersection,Bikerack,Bench,Shelter,Info Booth,Signpost,Discontinued,Location
Nott Terr & State St,3593,-73.93764,42.81049,"351, 354, 370",Schenectady,CHAPEL STREET,No,No,Yes,No,Yes,No,"(42.81049, -73.93764)"
176 Menand Rd,12671,-73.7468,42.702332,182,Colonie,WILDWOOD DRIVE,No,No,No,No,Yes,No,"(42.702332, -73.7468)"
Wood Ave & Avenue B,11285,-73.915212,42.833529,"351, 810, 998",Schenectady,AVENUE B,No,No,No,No,Yes,No,"(42.833529, -73.915212)"
TSP Second Ave @ Frisbie Avenue SB CO,5298,-73.773548,42.639168,922,Albany,FRISBIE AVENUE,No,No,No,No,No,No,"(42.639168, -73.773548)"
Duane Ave & McClyman St,11188,-73.93483,42.80104,810,Schenectady,MCCLYMAN STREET,No,No,No,No,No,No,"(42.80104, -73.93483)"
Western Ave & Quail St,258,-73.77746,42.66187,"10, 11, 115, 808, 910",Albany,QUAIL STREET,No,No,No,No,Yes,No,"(42.66187, -73.77746)"
Colonial Square Apts - Virginia Lane,13264,,,600,Amsterdam,UNKNOWN,No,No,No,No,Yes,No,
4th St & Tyler St,4067,-73.695632,42.710802,"85, 224, 802",Troy,TYLER STREET,No,No,No,No,Yes,No,"(42.710802, -73.695632)"
George St & Arch St,11029,-73.691147,42.745567,182,Green Island,ARCH STREET,No,No,No,No,Yes,No,"(42.745567, -73.691147)"
Morton Ave & S. Swan St,1230,-73.76792,42.64453,"100, 805, 806",Albany,DR MARTIN LUTHER KING JR BOULEVARD,No,No,No,No,Yes,No,"(42.64453, -73.76792)"
Delaware Ave Park & Ride,1965,-73.80972,42.62924,"18, 872",Bethlehem,UNKNOWN,No,No,No,No,Yes,No,"(42.62924, -73.80972)"
Washington Ave & Ontario St,3256,-73.77765,42.66496,12,Albany,O'LEARY BOULEVARD,Yes,Yes,No,No,Yes,No,"(42.66496, -73.77765)"
Washington Ave & SUNY Exit Rd,10134,,,"12, 114, 801, 803",Albany,SUNY AT ALBANY,No,No,Yes,No,Yes,No,
660 New Loudon Rd,1888,-73.762295,42.736367,182,Colonie,OLD LOUDON ROAD,No,Yes,Yes,No,Yes,No,"(42.736367, -73.762295)"
Watt St & Frank St,13334,,,810,Schenectady,FRANK STREET,No,No,No,No,Yes,No,
Campbell Ave & Willis St,13064,,,802,Troy,VANDENBURGH AVENUE,No,No,No,No,No,No,
TSP River St @ Hoosick St NB CO,5392,-73.68577776,42.73994443,"922, 923",Troy,UNKNOWN,No,No,No,No,No,No,"(42.73994443, -73.68577776)"
Western Ave & Homestead St,232,-73.82349,42.67648,"10, 115, 803, 806, 808",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.67648, -73.82349)"
River St & Ingalls Ave,10990,-73.683,42.74704,802,Troy,INGALLS AVENUE,No,No,No,No,Yes,No,"(42.74704, -73.683)"
Broadway & Cleveland Ave,1628,-73.97173,42.79515,"351, 810",Schenectady,CLEVELAND AVENUE,No,No,No,No,Yes,No,"(42.79515, -73.97173)"
Maple Rd & Scotch Pine Dr,532,-73.91704,42.64794,519,New Scotland,APPLE BLOSSOM LANE,No,No,No,No,Yes,No,"(42.64794, -73.91704)"
Market St & Storrie St,13319,,,601,Amsterdam,BUNN STREET,No,No,No,No,Yes,No,
Clizbe Ave & Devendorf St,13274,,,600,Amsterdam,1ST STREET,No,No,No,No,Yes,No,
Albany St & Georgetta Dix Plz,2349,-73.938299,42.809507,"353, 810, 873",Schenectady,GEORGETTA DIX PLAZA,Yes,No,No,No,Yes,No,"(42.809507, -73.938299)"
Key Bank (Corporate Woods),10648,-73.764625,42.680923,"99, 737",Colonie,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.680923, -73.764625)"
St Mary's Memorial Campus,13418,-74.186744,42.958957,"600, 601",Amsterdam,UNKNOWN,No,No,No,No,Yes,No,"(42.958957, -74.186744)"
BROOKVIEW RD & PHILLIPS RD(discontinued),3892,,,,Schodack,PHILLIPS ROAD,No,No,No,No,Yes,No,
Nott St & Carrie St,11271,-73.928487,42.820156,"351, 354, 810",Schenectady,NORTH TERRACE LANE,No,No,No,No,Yes,No,"(42.820156, -73.928487)"
Main Ave & Brookside Ave,4460,-73.64484,42.69688,286,North Greenbush,UNKNOWN,No,No,No,No,Yes,No,"(42.69688, -73.64484)"
118 Mt. Hope Dr,10686,-73.76814,42.63157,"107, 801, 803, 805",Albany,LITTLE LANE,No,No,No,No,Yes,No,"(42.63157, -73.76814)"
Columbia Tpke & Riverview Terr,10876,-73.73845,42.62297,233,East Greenbush,UNKNOWN,No,No,No,No,Yes,No,"(42.62297, -73.73845)"
High Rock Ave & Circular St,12198,-73.778821,43.087591,450,Saratoga Springs,UNKNOWN,No,No,No,No,Yes,No,"(43.087591, -73.778821)"
Second Ave & S. Pearl St,3355,-73.760527,42.636967,"805, 872",Albany,SOUTH PEARL STREET,No,No,No,No,No,No,"(42.636967, -73.760527)"
Ontario St & 2nd St,10704,,,801,Albany,2ND STREET,No,No,No,No,No,No,
Rt 50 & Pashley Rd,2396,-73.923807,42.888806,450,Glenville,UNKNOWN,No,No,No,No,Yes,No,"(42.888806, -73.923807)"
Hoosick St & 6th Ave,3103,-73.68287,42.73966,"87, 96, 802",Troy,6TH AVENUE,No,No,No,No,Yes,No,"(42.73966, -73.68287)"
Washington Ave & N. Allen St,1796,-73.7877,42.67078,"12, 114, 803",Albany,NORTH PINE AVENUE,No,No,No,No,Yes,No,"(42.67078, -73.7877)"
N. Allen St & Central Ave,11600,-73.783874,42.674193,"106, 801, 803, 806",Albany,UNKNOWN,No,Yes,No,No,Yes,No,"(42.674193, -73.783874)"
Van Rensselaer Blvd & Scott Dr,2090,-73.741365,42.685378,182,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.685378, -73.741365)"
Project St & Madison Ave,12359,-73.677207,42.713666,289,Troy,GRISWOLD HEIGHTS,No,No,No,No,Yes,No,"(42.713666, -73.677207)"
Carman Rd & Lydius St,1653,-73.94371,42.755,763,Guilderland,EAST LYDIUS STREET,No,No,No,No,Yes,No,"(42.755, -73.94371)"
6th Ave &  Federal (O' Neill Apts),10005,-73.68552,42.73421,"85, 815, 999",Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.73421, -73.68552)"
TSP Broadway @ I-787 Ramps SB CI,5251,-73.728294,42.687379,"922, 923",Colonie,UNKNOWN,No,No,No,No,No,No,"(42.687379, -73.728294)"
West Ave & Washington Ave,11730,,,451,Saratoga Springs,UNKNOWN,No,No,No,No,Yes,No,
TSP Broadway @ Brookside NB CO,5356,-73.7244904,42.69191484,"922, 923",Colonie,BROOKSIDE AVENUE,No,No,No,No,No,No,"(42.69191484, -73.7244904)"
Watervliet 19th St Station - 2nd Ave & 19th St,12965,,,"22, 922, 923",Watervliet,19TH STREET,No,No,Yes,No,Yes,No,
West Ave &  Empire College(Victorian Stroll Only),12250,,,,Saratoga Springs,UNKNOWN,Yes,No,No,No,No,No,
Columbia Tpke & Homestead Ave,2512,-73.73187,42.61724,233,East Greenbush,HOMESTEAD AVENUE,No,No,No,No,Yes,No,"(42.61724, -73.73187)"
Sand Creek Rd & Hartwick Dr,10537,-73.79563,42.70106,125,Colonie,KENNEDY DRIVE,No,No,No,No,Yes,No,"(42.70106, -73.79563)"
240 Broadway (Nicholas Auto),4232,-73.72591,42.69039,22,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.69039, -73.72591)"
Delaware Ave & Mason Rd,2988,-73.80843,42.62951,"18, 872",Bethlehem,MASON ROAD,No,No,No,No,Yes,No,"(42.62951, -73.80843)"
Cook Dr & Colvin Ave,11633,-73.66717,42.73089,286,Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.73089, -73.66717)"
Whitehall Rd & Carisle Ct,630,-73.79781,42.646044,"106, 801, 805, 806",Albany,HOLLYWOOD AVENUE,No,No,No,No,Yes,No,"(42.646044, -73.79781)"
Nott St & Clifton Park Rd,3693,-73.89497,42.81575,354,Niskayuna,VALENCIA ROAD,No,No,No,No,Yes,No,"(42.81575, -73.89497)"
Norwood Ave & Santa Fe St,13125,,,810,Schenectady,RICHARD STREET,No,No,No,No,No,No,
Fisher Trail Head,15586,-73.88116,42.62415,872,Bethlehem,TRUMPETER PLACE,No,No,No,No,Yes,No,"(42.62415, -73.88116)"
TSP South Pearl @ Schuyler St SB CI,5287,-73.75696326,42.6417022,"922, 923",Albany,MORTON AVENUE,No,No,No,No,No,No,"(42.6417022, -73.75696326)"
Columbia St & Bridgette Cir,12683,-73.738488,42.767783,182,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.767783, -73.738488)"
Madison Ave & Willett St,264,-73.769253,42.653369,"13, 114, 115, 805, 806",Albany,WASHINGTON PARK ROAD,Yes,No,No,No,Yes,No,"(42.653369, -73.769253)"
Broadway & State St,11589,-73.750868,42.649048,"22, 114, 115, 870",Albany,STATE STREET,Yes,No,No,No,Yes,No,"(42.649048, -73.750868)"
Garner St & Worth St,4099,-73.708883,42.777243,182,Cohoes,WORTH STREET,No,No,No,No,Yes,No,"(42.777243, -73.708883)"
Central Ave & Booth St,11323,-73.86615,42.74659,355,Colonie,WATERMAN AVENUE,No,No,No,No,Yes,No,"(42.74659, -73.86615)"
Northern Blvd & Shaker Rd,3441,-73.750558,42.67333,"182, 801, 803",Albany,ALBANY SHAKER ROAD,No,No,No,No,Yes,No,"(42.67333, -73.750558)"
TSP Congress St @ River St SB CI,5229,-73.69352148,42.72911784,"922, 923",Troy,1ST STREET,No,No,No,No,No,No,"(42.72911784, -73.69352148)"
Broadway & Church St,12186,-73.784772,43.08345,"450, 452",Saratoga Springs,LAKE AVENUE,No,No,No,No,Yes,No,"(43.08345, -73.784772)"
Cheltingham Ave & Torrington Ave,13368,,,810,Schenectady,TORRINGTON AVENUE,No,No,No,No,Yes,No,
Wolf Rd & Computer Dr East,12351,,,"117, 190",Colonie,COMPUTER DRIVE WEST,No,No,No,No,Yes,No,
TSP Ontario St @ Mohawk St WB CO,5514,-73.70020427,42.77447231,922,Cohoes,MOHAWK STREET,No,No,No,No,No,No,"(42.77447231, -73.70020427)"
Pawling Ave & Winter St,4397,-73.65608,42.70179,286,Troy,WINTER STREET,No,No,No,No,Yes,No,"(42.70179, -73.65608)"
154 Delaware Ave (Healthy Pet Center),1253,-73.8098,42.62909,"18, 872",Bethlehem,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.62909, -73.8098)"
Hoosick St & 25th St,2864,-73.664814,42.737515,"87, 96",Troy,25TH STREET,No,No,No,No,Yes,No,"(42.737515, -73.664814)"
Walmart - Glenmont,11755,-73.791932,42.608792,107,Bethlehem,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.608792, -73.791932)"
TSP South Pearl @ Second Ave 922 SB CO,5292,-73.760403,42.636904,922,Albany,SOUTH PEARL STREET,No,No,No,No,No,No,"(42.636904, -73.760403)"
Columbia St & Pintail Dr,13006,-73.730478,42.771296,182,Colonie,PINTAIL DRIVE,No,No,No,No,Yes,No,"(42.771296, -73.730478)"
Washington Ave & Wisconsin Ave,10761,-73.70783,42.65506,"214, 808",Rensselaer,BIRCHWOOD AVENUE,No,No,No,No,Yes,No,"(42.65506, -73.70783)"
Altamont Ave & Wedgewood Ave,11234,-73.95128,42.78214,"352, 353",Rotterdam,WEDGEWOOD AVENUE,No,No,No,No,Yes,No,"(42.78214, -73.95128)"
Olean St & Broadway,13022,,,810,Schenectady,THIRTEENTH STREET,No,No,No,No,Yes,No,
Guy Park Ave & Henrietta St,13218,,,"600, 602",Amsterdam,EVELYN STREET,No,No,No,No,Yes,No,
Colvin Ave & Lincoln Ave,10352,,,"712, 801",Albany,UNKNOWN,No,No,No,No,Yes,No,
E. Main St & Dean St,13237,-74.183966,42.933094,"600, 602",Amsterdam,DEAN STREET,No,No,No,No,Yes,No,"(42.933094, -74.183966)"
UAlbany (SEFCU Center),10613,-73.8286,42.68282,115,Guilderland,WELLNESS LANE,Yes,Yes,Yes,No,Yes,No,"(42.68282, -73.8286)"
Columbia Tpke & Inglewood Rd,2573,-73.692139,42.581274,233,Schodack,SUSSEX ROAD,No,No,No,No,Yes,No,"(42.581274, -73.692139)"
Hillcrest Ave & Balltown Ave,13356,,,810,Schenectady,CHESWICK ROAD,No,No,No,No,Yes,No,
Wood Ave & Van Vranken Ave,3655,-73.9176,42.83434,"351, 810",Schenectady,VAN VRANKEN AVENUE,No,No,No,No,Yes,No,"(42.83434, -73.9176)"
Cohoes Ave & Arch St,11088,-73.696382,42.746867,182,Green Island,BLEEKER STREET,No,No,No,No,Yes,No,"(42.746867, -73.696382)"
6th Ave & 101st St,4371,-73.68122,42.75354,85,Troy,101ST STREET,Yes,No,No,No,Yes,No,"(42.75354, -73.68122)"
1484 Rt 50 (Mangino Buick GMC),12938,,,450,Ballston,UNKNOWN,No,No,No,No,Yes,No,
TSP South Pearl @ Old South Pearl CI,5529,-73.764745,42.631859,923,Albany,UNKNOWN,No,No,No,No,No,No,"(42.631859, -73.764745)"
Ohav Shalom & Krumkill Rd,9006,-73.821962,42.661221,813,Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.661221, -73.821962)"
Main Ave & Willett St,12624,,,"353, 873",Schenectady,HOLLAND ROAD,No,No,No,No,Yes,No,
Delaware Ave & Dunham Ave,4482,-73.68193,42.71194,802,Troy,PROJECT STREET,No,No,No,No,No,No,"(42.71194, -73.68193)"
Western Ave & W. Lawrence St,2112,-73.78992,42.66597,"10, 11, 115, 808",Albany,UNKNOWN,Yes,No,No,No,Yes,No,"(42.66597, -73.78992)"
Main Ave & Rt 150,4342,-73.63512,42.69368,286,North Greenbush,ORCHARD TERRACE,No,No,No,No,Yes,No,"(42.69368, -73.63512)"
Van Vranken Ave & Mason St,2415,-73.92408,42.82424,"351, 810, 830, 998",Schenectady,KENWOOD STREET,No,No,No,No,Yes,No,"(42.82424, -73.92408)"
Hill St & 6th/Jefferson,13075,,,802,Troy,6TH AVENUE,No,No,No,No,No,No,
Slingerland Station - Second Ave & Slingerland St,3318,-73.771306,42.639296,"106, 801, 805, 872, 922",Albany,BOGART TERRACE,No,No,No,No,Yes,No,"(42.639296, -73.771306)"
Central Ave & Wilber Ave,2697,-73.88632,42.76447,355,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.76447, -73.88632)"
Mannix Rd & Thompson Hill Rd,13446,-73.700201,42.631014,214,East Greenbush,THOMPSON HILL ROAD,No,No,No,No,Yes,No,"(42.631014, -73.700201)"
TSP 3rd St @ Congress St SB CO,5224,-73.69093635,42.72882344,"922, 923",Troy,3RD STREET,No,No,No,No,No,No,"(42.72882344, -73.69093635)"
Cottage St (Summit Apartments),12941,-73.69177,42.700036,"85, 802",Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.700036, -73.69177)"
15th St & Peoples Ave,10333,-73.67656,42.73317,"289, 802",Troy,PEOPLES AVENUE,No,No,No,No,Yes,No,"(42.73317, -73.67656)"
North Albany Middle School,3325,-73.73994,42.67269,"801, 806",Albany,NORTH 2ND STREET,Yes,No,No,No,Yes,No,"(42.67269, -73.73994)"
State St & Western Pkwy,1736,-73.918589,42.793385,"355, 810",Schenectady,WESTERN PARKWAY,No,No,No,No,Yes,No,"(42.793385, -73.918589)"
Lake Ave & Nelson Ave,11506,,,451,Saratoga Springs,NELSON AVENUE,No,No,No,No,Yes,No,
Ballston Ave & Union St,12113,-73.7901,43.07389,450,Saratoga Springs,UNION STREET,No,No,No,No,Yes,No,"(43.07389, -73.7901)"
22 Corporate Woods Blvd,11529,-73.76791,42.68088,737,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.68088, -73.76791)"
Clinton St & Embury Dr,12146,-73.78828,43.09005,452,Saratoga Springs,EMBURY DRIVE,No,No,No,No,Yes,No,"(43.09005, -73.78828)"
Duane Ave & Kelton Ave,12448,-73.92849,42.79815,"352, 810",Schenectady,UNKNOWN,No,No,No,No,Yes,No,"(42.79815, -73.92849)"
Whitehall Rd & Marwood St,1067,-73.79736,42.64597,"106, 801, 805, 806",Albany,MARWOOD STREET,No,No,No,No,Yes,No,"(42.64597, -73.79736)"
TSP South Pearl @ Fourth Ave NB CI,5315,-73.7598026,42.63724576,"922, 923",Albany,UNKNOWN,No,No,No,No,No,No,"(42.63724576, -73.7598026)"
Ferry St & 8th St,4503,,,"289, 802",Troy,UNKNOWN,No,No,No,No,Yes,No,
Simmons Ave & Leversee Ave,3080,,,"182, 522",Cohoes,VLIET BOULEVARD,No,No,No,No,Yes,No,
Rt 20 & Highland Dr,11301,-73.93046,42.71367,763,Guilderland,WEST HIGHLAND DRIVE,No,No,No,No,Yes,No,"(42.71367, -73.93046)"
Rt 7 & Merlin Dr,2490,-73.84492,42.77969,"370, 873",Niskayuna,MERLIN DRIVE,No,No,No,No,Yes,No,"(42.77969, -73.84492)"
Federal St & 6th Ave,10080,-73.68549,42.73372,"286, 289, 802",Troy,6TH AVENUE,No,No,No,No,Yes,No,"(42.73372, -73.68549)"
Route 30 & Division St,13304,,,601,Amsterdam,UNKNOWN,No,No,No,No,Yes,No,
Columbia St & Bought Rd,7529,-73.727758,42.772008,182,Cohoes,UNKNOWN,No,No,No,No,Yes,No,"(42.772008, -73.727758)"
Market St & Lincoln Ave,13302,-74.186886,42.945689,601,Amsterdam,LINCOLN AVENUE,No,No,No,No,Yes,No,"(42.945689, -74.186886)"
Broadway & Division St,12155,-73.785508,43.081644,"450, 452, 875",Saratoga Springs,DIVISION STREET,No,No,No,No,Yes,No,"(43.081644, -73.785508)"
Broadway & Brookside Ave,106,-73.7246,42.69201,22,Colonie,BROOKSIDE AVENUE,No,No,No,No,Yes,No,"(42.69201, -73.7246)"
Burdett Ave & Sage Ave,11941,-73.672726,42.728863,"87, 802",Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.728863, -73.672726)"
Albany Shaker Rd & Quarry Dr,10855,-73.77599,42.70468,737,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.70468, -73.77599)"
East St at Stewart's,11417,-73.73887,42.64527,"214, 808",Rensselaer,WILLOW STREET,No,No,Yes,No,Yes,No,"(42.64527, -73.73887)"
Chrisler Ave & Ten Eyck Ave,12472,-73.9383,42.79083,"353, 810",Schenectady,VAN VELSEN STREET,No,No,No,No,Yes,No,"(42.79083, -73.9383)"
Circular St & Phila St,12859,,,452,Saratoga Springs,ALLERDICE LANE,No,No,No,No,Yes,No,
New Scotland Ave & Halsdorf St,1023,-73.807372,42.658738,"13, 805, 806",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.658738, -73.807372)"
Curry Rd at Trustco Bank,3515,-73.96334,42.78375,763,Rotterdam,UNKNOWN,No,No,No,No,Yes,No,"(42.78375, -73.96334)"
Wade Lupe Towers,12834,,,830,Schenectady,UNKNOWN,No,No,No,No,No,No,
25th St & Whitehall St,70,-73.699928,42.735393,182,Watervliet,WHITEHALL STREET,No,No,No,No,Yes,No,"(42.735393, -73.699928)"
TSP Broadway @ N 2ND St NB CI,5347,-73.73920118,42.670279,"922, 923",Albany,NORTH 1ST STREET,No,No,No,No,No,No,"(42.670279, -73.73920118)"
TSP South Pearl @ Morton Ave / Rensselaer St NB CO,5320,-73.75671403,42.64195569,"922, 923",Albany,ARCH STREET,No,No,No,No,No,No,"(42.64195569, -73.75671403)"
Clinton Ave & Henry Johnson Blvd,3282,-73.76183,42.66103,"125, 805",Albany,HENRY JOHNSON BOULEVARD,No,No,No,No,Yes,No,"(42.66103, -73.76183)"
Union St & Oregon Ave,3625,-73.894732,42.79984,370,Niskayuna,OREGON AVENUE,No,No,No,No,Yes,No,"(42.79984, -73.894732)"
River St & North St,788,-73.684072,42.745195,802,Troy,NORTH STREET,No,No,No,No,Yes,No,"(42.745195, -73.684072)"
Rt 20 & Foundry Rd,393,-73.91178,42.70432,763,Guilderland,WILLOW STREET,No,No,No,No,Yes,No,"(42.70432, -73.91178)"
Rt 50 & Lake Hill Rd,2320,-73.898797,42.909791,450,Ballston,UNKNOWN,No,No,No,No,Yes,No,"(42.909791, -73.898797)"
S. Allen St & Mercer St,1204,-73.79581,42.66299,"106, 801, 805",Albany,WARREN STREET,No,No,No,No,Yes,No,"(42.66299, -73.79581)"
Hewitt St & Francis St. Ext.,13269,,,600,Amsterdam,FRANCIS STREET,No,No,No,No,Yes,No,
Cherry Ave & Custer Road,1317,-73.852482,42.616413,"18, 519",Bethlehem,UNKNOWN,No,No,No,No,Yes,No,"(42.616413, -73.852482)"
Vrooman Ave & Hibbard St,13257,,,600,Amsterdam,KREISEL TERRACE,No,No,No,No,Yes,No,
Collar City Rehab,7165,-73.66167,42.79265,85,Schaghticoke,UNKNOWN,No,No,No,No,Yes,No,"(42.79265, -73.66167)"
Delaware Ave & Leonard Pl,463,-73.769481,42.648496,"18, 801, 803, 805, 806",Albany,LEONARD PLACE,Yes,No,No,No,Yes,No,"(42.648496, -73.769481)"
George St & Market St,11097,-73.692868,42.740957,182,Green Island,CLINTON STREET,No,No,No,No,Yes,No,"(42.740957, -73.692868)"
Everett Rd & Atrium Dr,10368,-73.77841,42.68884,737,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.68884, -73.77841)"
Quail Station - Central Ave & Quail St,141,-73.773555,42.665762,"1, 712, 806, 807, 905",Albany,NORTH LAKE AVENUE,Yes,Yes,Yes,No,Yes,No,"(42.665762, -73.773555)"
Rt 4 & Jordan Rd (Rensselaer TechPark),11150,-73.69065,42.67642,"224, 808",North Greenbush,JORDAN ROAD,No,No,Yes,No,Yes,No,"(42.67642, -73.69065)"
Western Ave & Belvedere  Ave,281,-73.80133,42.66964,"10, 11, 115, 801, 803, 806, 808",Albany,FAIRLAWN AVENUE,No,No,No,No,Yes,No,"(42.66964, -73.80133)"
Central Ave & Arrow St,2285,-73.882336,42.761221,355,Colonie,LANSING ROAD NORTH,No,No,No,No,Yes,No,"(42.761221, -73.882336)"
Lincoln Ave & Brevator St,13429,,,801,Albany,ROSEMONT STREET,No,No,No,No,No,No,
Mt Hope Dr & Little Dr,10734,-73.76907,42.63145,"107, 801, 803, 805",Albany,LITTLE LANE,No,No,No,No,Yes,No,"(42.63145, -73.76907)"
Delaware & Normanskill(NYS Dept of Public Service),1333,-73.81144,42.62901,"18, 872",Bethlehem,UNKNOWN,No,No,Yes,No,Yes,No,"(42.62901, -73.81144)"
Clinton Square Station - N. Pearl St & Clinton Ave,12962,,,"806, 872, 922, 923",Albany,CLINTON AVENUE,Yes,Yes,Yes,No,Yes,No,
Delaware Ave & Delaware Terr,415,-73.774124,42.64426,"18, 801, 803, 805, 806",Albany,MONA TERRACE,Yes,No,No,No,Yes,No,"(42.64426, -73.774124)"
Daughters of Sarah,12558,-73.853906,42.700354,"155, 801, 803",Albany,SOUTH FRONTAGE ROAD,No,No,Yes,No,Yes,No,"(42.700354, -73.853906)"
Lark St & Washington Ave,353,-73.763464,42.656545,"13, 18, 801, 803, 870",Albany,WASHINGTON AVENUE,Yes,No,No,No,Yes,No,"(42.656545, -73.763464)"
Sanders Preserve,15592,,,873,Glenville,UNKNOWN,No,No,No,No,Yes,No,
6th Ave & Douw St,4327,,,85,Troy,DOUW STREET,No,No,No,No,Yes,No,
E. Main St & St. Mary's Church,13207,-74.188122,42.935219,"600, 602",Amsterdam,HAMILTON STREET,No,No,No,No,Yes,No,"(42.935219, -74.188122)"
Second Ave & Grandview Terr,10673,-73.767531,42.63913,"106, 801, 805, 872",Albany,GRANDVIEW TERRACE,No,No,No,No,Yes,No,"(42.63913, -73.767531)"
Division St & Yeoman St,13227,,,"600, 602",Amsterdam,YEOMAN STREET,No,No,No,No,Yes,No,
TSP Broadway @ Bank of America Rd NB CO,5362,-73.71609523,42.70217299,"922, 923",Colonie,UNKNOWN,No,No,No,No,No,No,"(42.70217299, -73.71609523)"
1639 3rd St,11408,-73.731184,42.65682,"214, 808",Rensselaer,CENTRAL AVENUE,No,No,Yes,No,Yes,No,"(42.65682, -73.731184)"
Rt 7 & Buhrmaster Rd,2472,-73.80428,42.76442,"370, 873",Colonie,OLD NISKAYUNA ROAD,No,No,No,No,Yes,No,"(42.76442, -73.80428)"
Cherry Ave & Oak Rd,1409,-73.85517,42.62362,"18, 519",Bethlehem,OAK ROAD,No,No,No,No,Yes,No,"(42.62362, -73.85517)"
1573 Columbia Tpke,2606,-73.688108,42.573404,233,Schodack,UNKNOWN,No,No,No,No,No,No,"(42.573404, -73.688108)"
Elm Ave & Juniper Dr,2592,-73.844895,42.608718,519,Bethlehem,JUNIPER DRIVE,No,No,No,No,Yes,No,"(42.608718, -73.844895)"
Union Ave & Saratoga Race Track Gate16,12824,,,840,Saratoga Springs,UNKNOWN,No,No,No,No,No,No,
Nott St & Clifton Park Rd,12495,-73.894877,42.815846,354,Niskayuna,CLIFTON PARK ROAD,No,No,No,No,Yes,No,"(42.815846, -73.894877)"
Fuller Rd & Railroad Ave,38,-73.8257,42.69778,"117, 190",Colonie,RAILROAD AVENUE,No,No,No,No,Yes,No,"(42.69778, -73.8257)"
Sand Creek Rd & Russell Rd,3411,-73.78202,42.68911,125,Colonie,EVERETT ROAD,No,No,No,No,Yes,No,"(42.68911, -73.78202)"
TSP River St @ Bond St NB CI,5397,-73.68250739,42.74883709,"922, 923",Troy,DOUW STREET,No,No,No,No,No,No,"(42.74883709, -73.68250739)"
Livingston Ave & Lark St,13391,,,801,Albany,COLONIE STREET,No,No,No,No,No,No,
Quad Graphics,11469,-73.8289,43.06313,"450, 451",Saratoga Springs,UNKNOWN,No,No,No,No,Yes,No,"(43.06313, -73.8289)"
Hoosick Rd & Lord Ave,12016,,,"87, 96",Brunswick,LORD AVENUE,No,No,No,No,Yes,No,
Altamont Ave & Watt St,12454,-73.92799,42.79662,"352, 810",Schenectady,UNKNOWN,No,No,No,No,Yes,No,"(42.79662, -73.92799)"
Westerlo St & Civil Ave (Civil Senior Center),12628,,,813,Coeymans,CIVILL AVENUE,No,No,No,No,Yes,No,
Ormond St & Greenway,13402,,,801,Albany,BERKSHIRE BOULEVARD,No,No,No,No,No,No,
19th St & 3rd Ave,11112,-73.70255,42.73045,370,Watervliet,UNKNOWN,Yes,Yes,Yes,No,Yes,No,"(42.73045, -73.70255)"
1541 Broadway (Senior Citizen Center),15,-73.70014,42.72651,"22, 815",Watervliet,UNKNOWN,Yes,Yes,Yes,No,Yes,No,"(42.72651, -73.70014)"
Washington Ave & 9th St,10751,-73.723196,42.659785,"214, 808",Rensselaer,NINTH STREET,No,No,No,No,Yes,No,"(42.659785, -73.723196)"
709 Central Ave (ShopRite Albany),206,-73.786171,42.676829,"1, 712, 801",Albany,UNKNOWN,No,No,Yes,No,Yes,No,"(42.676829, -73.786171)"
Quail St & 2nd St,3474,-73.769723,42.667743,100,Albany,2ND STREET,No,No,No,No,Yes,No,"(42.667743, -73.769723)"
Manning Blvd & N. Main Ave,13414,,,"803, 805",Albany,KENT STREET,No,No,No,No,No,No,
TSP South Pearl @ Beaver St NB CO,5330,-73.75349294,42.64885633,"922, 923",Albany,NORTON STREET,No,No,No,No,No,No,"(42.64885633, -73.75349294)"
Quail St & Bradford St,10143,-73.77406,42.66484,"100, 801, 803",Albany,BRADFORD STREET,No,Yes,Yes,No,Yes,No,"(42.66484, -73.77406)"
Van Vranken Ave & Mason St,11274,-73.92425,42.82397,"351, 810, 998",Schenectady,KENWOOD STREET,No,No,No,No,Yes,No,"(42.82397, -73.92425)"
McClellan St & Eastern Ave,12443,-73.91405,42.80751,"352, 810",Schenectady,EASTERN PARKWAY,No,No,No,No,Yes,No,"(42.80751, -73.91405)"
