Description,Stop ID,Longitude,Latitude,Routes,Municipality,Nearest Intersection,Bikerack,Bench,Shelter,Info Booth,Signpost,Discontinued,Location
Peoples Ave & 13th St(discontinued),12987,,,,Troy,14TH STREET,No,No,No,No,No,No,
Capitol/Hawk Station - Washington Ave & Hawk St,2706,-73.757272,42.653239,"1, 10, 12, 13, 18, 22, 182, 214, 224, 233, 519, 522, 523, 524, 540, 560, 737, 807, 808, 905, 910",Albany,SOUTH SWAN STREET,No,Yes,No,No,Yes,No,"(42.653239, -73.757272)"
Washington Ave & Henry Johnson Blvd,263,-73.7655,42.65804,"10, 12, 808",Albany,HENRY JOHNSON BOULEVARD,Yes,No,No,No,Yes,No,"(42.65804, -73.7655)"
Columbia Tpke & Sussex Rd,2237,-73.69439,42.58411,233,East Greenbush,HORIZON VIEW DRIVE WEST,No,No,No,No,Yes,No,"(42.58411, -73.69439)"
Central Ave & Massachusetts Ave,11324,-73.86164,42.74269,355,Colonie,MICHIGAN AVENUE,No,No,No,No,Yes,No,"(42.74269, -73.86164)"
Whitehall Rd & Marwill St,1075,-73.78916,42.64213,"106, 801, 803, 805, 806",Albany,MARWILL STREET,Yes,No,No,No,Yes,No,"(42.64213, -73.78916)"
Latham Farms,7168,-73.762,42.755288,"182, 190, 370",Colonie,ERIN STREET,No,Yes,Yes,Yes,Yes,No,"(42.755288, -73.762)"
Vliet Blvd & Simmons Ave,11080,-73.713682,42.777852,522,Cohoes,EAGLE STREET,No,No,No,No,Yes,No,"(42.777852, -73.713682)"
Guy Park Ave & Genevieve St,13224,,,602,Amsterdam,GENEVIEVE STREET,No,No,No,No,Yes,No,
2 Executive Park Dr,12021,-73.838079,42.684512,"10, 808",Guilderland,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.684512, -73.838079)"
RPI Terminal,12015,-73.66328,42.73464,286,Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.73464, -73.66328)"
S. Pearl St & 4th Ave,10671,-73.758219,42.639231,"106, 107, 801, 805, 872",Albany,ALEXANDER STREET,No,No,No,No,Yes,No,"(42.639231, -73.758219)"
Livingston Ave & Ontario St,10348,-73.770919,42.670858,"106, 801, 803, 805, 872",Albany,UNKNOWN,No,No,Yes,No,Yes,No,"(42.670858, -73.770919)"
Livingston Ave & Thorton St,2171,-73.76178,42.66549,"100, 106, 801, 803, 805, 872",Albany,THORNTON STREET,No,No,No,No,Yes,No,"(42.66549, -73.76178)"
3rd St & Madison St,358,-73.69304,42.71875,"85, 224, 802",Troy,CANAL AVENUE,No,No,No,No,Yes,No,"(42.71875, -73.69304)"
Albany Shaker Rd & Margaret Dr,2660,-73.79037,42.72276,737,Colonie,MARGARET DRIVE,No,No,No,No,Yes,No,"(42.72276, -73.79037)"
Empire State Plaza Concourse,10868,-73.76139,42.65079,"214, 224, 233, 519, 522, 523, 524, 525, 540, 560",Albany,UNKNOWN,No,No,No,No,No,No,"(42.65079, -73.76139)"
Lark St & Madison Ave,589,-73.76755,42.65264,"13, 18, 801, 803, 870",Albany,UNKNOWN,Yes,No,No,No,Yes,No,"(42.65264, -73.76755)"
Second Ave & Frisbie Ave,3953,-73.773022,42.639221,"106, 801, 805, 872",Albany,SAND STREET,No,No,No,No,Yes,No,"(42.639221, -73.773022)"
Rt 7 & Rensselaer Ave,2465,-73.772602,42.754605,370,Colonie,RENSSELAER AVENUE,No,No,No,No,Yes,No,"(42.754605, -73.772602)"
Rt 50 & Hetchel Town Rd,2255,-73.912033,42.896828,450,Glenville,UNKNOWN,No,No,No,No,Yes,No,"(42.896828, -73.912033)"
Mohawk Ave & N. Holmes St,13200,,,"602, 873",Glenville,HAWK STREET,No,No,No,No,Yes,No,
Western Ave & Holmes Dale Ave,238,,,"10, 11, 115, 801, 803, 806, 808",Albany,HOMES DALE AVENUE,No,No,No,No,Yes,No,
620 Washington Ave,10752,-73.71916,42.65969,"214, 808",Rensselaer,SAINT FRANCIS PLACE,No,No,No,No,Yes,No,"(42.65969, -73.71916)"
Mariaville Rd & Kelly St,1634,-73.9909,42.792448,351,Rotterdam,HAROLD STREET,No,No,No,No,Yes,No,"(42.792448, -73.9909)"
Hoosick Rd & Killock Ave,2870,-73.64755,42.74296,"87, 96",Brunswick,WOODWARD AVENUE,No,No,No,No,Yes,No,"(42.74296, -73.64755)"
State St & Linda Ln,2420,-73.89733,42.77456,355,Schenectady,UNKNOWN,No,No,No,No,Yes,No,"(42.77456, -73.89733)"
State St & Eagle St,1787,-73.755253,42.65095,"1, 10, 12, 13, 18, 22, 115, 182, 214, 224, 233, 519, 522, 523, 524, 560, 737, 807, 808, 870",Albany,EAGLE STREET,No,No,No,No,Yes,No,"(42.65095, -73.755253)"
Albany International Airport,175,-73.809184,42.744491,"117, 155, 737",Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.744491, -73.809184)"
New Scotland Ave & Oakwood St,694,-73.79701,42.65498,"13, 803",Albany,VAN SCHOICK AVENUE,Yes,No,No,No,Yes,No,"(42.65498, -73.79701)"
New Scotland Ave & Whitehall Rd,714,-73.81731,42.65534,"13, 805, 806",Albany,CRESCENT DRIVE,No,No,No,No,Yes,No,"(42.65534, -73.81731)"
Crane St & 7th Ave,12477,-73.946518,42.796837,353,Schenectady,SEVENTH AVENUE,No,No,No,No,Yes,No,"(42.796837, -73.946518)"
Harrison Ave & Guilderland Ave,13372,,,810,Schenectady,NEIL STREET,No,No,No,No,Yes,No,
S. Pearl St & 1st Ave,10690,-73.762445,42.634927,"107, 801",Albany,GREEN STREET,No,No,No,No,Yes,No,"(42.634927, -73.762445)"
8th Ave & Northern Dr (Corliss Park),4468,-73.66382,42.78695,85,Troy,8TH AVENUE,No,No,No,No,Yes,No,"(42.78695, -73.66382)"
Division St & Guy St,13229,,,"600, 602",Amsterdam,GUY STREET,No,No,No,No,Yes,No,
Cottage St (Summit Apartments),12940,-73.69196,42.700013,"85, 802",Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.700013, -73.69196)"
Clinton Ave & Lark St,3473,-73.75958,42.65974,"125, 805",Albany,LARK STREET,No,Yes,Yes,No,Yes,No,"(42.65974, -73.75958)"
Simmons Ave & Columbia St,3074,-73.714365,42.772565,"182, 522",Cohoes,ELM STREET,No,No,No,No,Yes,No,"(42.772565, -73.714365)"
Hill & Markes,15595,,,601,Florida,UNKNOWN,No,No,No,No,Yes,No,
Main Ave & Bellemead St,3781,-73.63615,42.69458,286,North Greenbush,BELLEMEADE STREET,No,No,No,No,Yes,No,"(42.69458, -73.63615)"
Broadway & Wards Ln,3328,-73.731,42.6833,"22, 524",Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.6833, -73.731)"
Perth Rd & Wallins Corners Rd,13323,-74.187318,42.970607,601,Amsterdam,UNKNOWN,No,No,No,No,Yes,No,"(42.970607, -74.187318)"
State St & Roosevelt Ave,2269,-73.90746,42.78338,"355, 810",Schenectady,ROOSEVELT AVENUE,No,No,No,No,Yes,No,"(42.78338, -73.90746)"
Lancaster St & Gerling St,3204,-73.906743,42.822346,"351, 352",Schenectady,GRENOSIDE AVENUE,No,No,No,No,Yes,No,"(42.822346, -73.906743)"
TSP Broad St @ 3rd St SB CI,5183,-73.679008,42.79041,923,Waterford,3RD STREET,No,No,No,No,No,No,"(42.79041, -73.679008)"
TSP River St @ Middleburgh St NB CI,5395,-73.68442457,42.74433687,"922, 923",Troy,NORTH STREET,No,No,No,No,No,No,"(42.74433687, -73.68442457)"
N. Allen St & Lincoln Ave,2568,-73.785915,42.672247,"99, 106, 801, 803, 806",Albany,KENT STREET,No,No,No,No,Yes,No,"(42.672247, -73.785915)"
